order_id,line_number,product_id,qty,unit_price,line_discount_pct,tax_pct
633682,81,5491,3,458.8976,0.148,0.0619
303396,136,3852,2,346.0971,0.1948,0.0739
353826,138,1528,10,51.9778,0.0131,0.106
508558,266,1795,10,46.9472,0.2411,0.0531
544667,371,182,6,323.2394,0.0816,0.0906
162015,679,15,10,72.4635,0.0547,0.0524
538994,763,5,10,127.6569,0.2424,0.0789
195125,801,62,3,67.2222,0.1012,0.0948
861283,883,138,8,415.1203,0.22,0.1181
954345,976,121,5,26.8854,0.2004,0.1464
4257,1001,168,6,329.2768,0.0471,0.1087
263743,1117,226,10,377.8909,0.1532,0.0841
995663,1167,178,5,490.8505,0.0111,0.1218
138983,1172,103,6,184.47,0.1103,0.0696
687247,1435,72,4,207.0456,0.129,0.1158
950552,1643,237,1,29.9474,0.0339,0.0844
317366,1717,193,4,377.2466,0.008,0.0518
779064,1768,239,5,212.7965,0.2061,0.1267
317227,1855,237,3,199.7598,0.0791,0.1048
6056,2017,146,9,302.0711,0.2323,0.0514
914808,2098,135,4,484.1668,0.0294,0.1136
23580,2318,159,9,278.8077,0.1829,0.0934
248259,2517,22,3,490.6191,0.039,0.143
764711,2655,74,5,400.2159,0.2066,0.1386
153150,3058,41,10,339.9198,0.0198,0.0554
983848,3222,141,2,292.6606,0.191,0.13
561808,3256,69,4,478.6243,0.1618,0.1086
119556,3365,206,3,248.0831,0.1543,0.0529
748243,3374,125,7,153.2397,0.2431,0.0895
449620,3525,63,9,61.3832,0.1542,0.1016
976887,3557,149,8,260.0419,0.2164,0.0671
72380,3599,75,7,307.6636,0.0906,0.1004
422957,3612,185,6,95.7946,0.1234,0.0997
471117,3898,145,10,428.3498,0.2202,0.0665
796924,3916,75,8,96.8904,0.1942,0.132
854200,3972,55,8,394.4484,0.1607,0.1063
505172,4032,24,8,256.8911,0.2158,0.087
42879,4234,214,1,430.4588,0.1641,0.0852
857205,4505,142,7,115.145,0.0568,0.0675
816823,4515,220,7,120.8384,0.0288,0.0553
124981,4630,110,3,350.4398,0.1021,0.1105
891224,4665,133,2,101.121,0.1588,0.0986
860951,4698,82,9,384.2421,0.1778,0.0871
137356,4812,88,5,259.7318,0.0734,0.1072
317773,4827,137,2,60.8569,0.0978,0.1155
778248,4864,59,5,90.8376,0.1188,0.0993
897979,4880,3,5,233.9804,0.1525,0.1455
760996,4957,179,10,497.0046,0.1057,0.1287
60564,4989,8,7,277.2694,0.2036,0.0587
980622,5005,98,6,409.9698,0.036,0.0691
935913,5085,113,1,314.3948,0.0915,0.0784
692670,5168,37,10,360.5723,0.0153,0.0602
801308,5216,4,3,122.7082,0.051,0.1256
885289,5228,228,5,52.3705,0.0304,0.1359
812675,5440,159,10,268.6115,0.1395,0.1058
613153,5474,165,6,280.7231,0.2481,0.0811
219019,5526,159,7,56.9487,0.105,0.08
995047,5575,122,6,201.8379,0.1675,0.071
551938,5641,80,9,442.5194,0.1401,0.0812
191554,5689,213,4,72.7369,0.0318,0.0625
942660,5746,19,2,253.6101,0.2311,0.0877
41252,5913,145,4,377.7126,0.2328,0.0508
167230,5930,229,10,399.6877,0.0524,0.1214
763670,6036,136,5,333.7438,0.1338,0.0754
896082,6166,48,10,421.5193,0.0262,0.0625
772167,6217,74,2,63.4055,0.0058,0.0881
967974,6270,54,4,447.0759,0.0399,0.1054
384540,6547,117,3,422.8601,0.0749,0.0951
332434,6715,119,5,183.9578,0.0957,0.0873
464026,6758,68,6,24.0564,0.1216,0.0826
914611,6814,120,3,89.7829,0.0893,0.1371
908289,7268,220,8,346.7601,0.1771,0.069
79383,7419,145,7,458.3095,0.2279,0.0671
112720,7477,90,2,356.4562,0.1364,0.0703
107098,7640,73,7,139.3792,0.1305,0.072
710417,7739,39,7,172.983,0.24,0.1225
81320,7898,65,2,42.6076,0.0774,0.0955
88787,8102,184,2,306.5605,0.0814,0.0975
326683,8202,217,6,392.5866,0.0527,0.1352
948139,8363,30,3,274.8848,0.0976,0.0954
950781,8410,192,2,376.6496,0.2343,0.0557
646444,8481,156,7,14.9191,0.0596,0.1394
24255,8498,56,8,193.8852,0.1695,0.1306
797720,8509,236,6,155.1455,0.2282,0.0725
220075,8580,71,4,412.1106,0.2082,0.0914
321354,8591,242,5,56.1777,0.1524,0.134
568951,8598,144,3,491.1806,0.0702,0.1286
105999,8686,91,1,86.9329,0.0564,0.1341
810335,8710,4,10,78.1737,0.0116,0.1143
372983,8744,10,2,426.4565,0.0241,0.0517
18871,8912,136,1,418.0482,0.1647,0.1283
877777,8924,238,9,347.4144,0.0476,0.1405
403696,9006,16,4,442.7039,0.0128,0.1027
608002,9064,194,5,25.3385,0.2491,0.1252
31346,9105,58,4,248.5771,0.1653,0.0573
944831,9331,41,7,102.8161,0.0027,0.0715
17155,9367,65,1,159.3362,0.2244,0.0985
109611,9407,221,9,489.7068,0.048,0.0582
520412,9492,140,7,234.5899,0.17,0.1412
986244,9581,70,7,85.9213,0.0392,0.0923
152957,9660,203,10,28.7211,0.098,0.141
90036,9820,113,6,395.6714,0.0968,0.1166
174494,9906,166,2,140.0146,0.2158,0.1306
48138,9969,47,3,89.5842,0.0104,0.0568
195548,9971,9,7,350.0065,0.025,0.1319
685698,10151,80,9,112.2554,0.1604,0.1279
437247,10214,190,9,247.63,0.0828,0.1055
51149,10230,85,7,59.6002,0.1455,0.0847
680440,10291,94,4,24.2188,0.2395,0.0897
762083,10305,32,7,197.1162,0.1582,0.1299
65584,10312,195,8,256.8105,0.1187,0.0975
330126,10366,48,2,83.2961,0.0735,0.0504
108820,10397,177,1,440.3286,0.0922,0.0877
505428,10710,44,4,404.0426,0.2011,0.0681
102033,10756,221,6,321.5688,0.0131,0.1091
76607,11182,4,2,363.7344,0.0718,0.1286
374964,11249,216,2,301.8102,0.2174,0.0796
645996,11284,50,3,378.5819,0.1443,0.1041
286307,11608,28,9,193.1121,0.135,0.0926
128093,11650,140,3,6.7408,0.1077,0.0942
148386,11815,117,7,107.4964,0.2348,0.0742
872702,12177,230,3,340.3469,0.2265,0.078
442284,12339,154,9,307.5788,0.0365,0.0802
448274,12607,233,1,268.2707,0.2003,0.1296
669427,12677,144,8,211.557,0.2247,0.1465
388372,12690,59,9,233.375,0.1819,0.0858
832865,12755,129,6,227.9625,0.1443,0.0874
798849,12764,148,3,409.6498,0.109,0.0789
761065,12819,141,9,298.5986,0.0026,0.075
501771,12893,231,3,234.6301,0.1624,0.0696
908961,12981,222,7,459.8933,0.1715,0.1058
374981,13158,110,6,290.207,0.139,0.0958
916493,13265,60,6,301.7913,0.035,0.0674
162600,13406,54,9,82.6549,0.0611,0.1315
452692,13409,107,4,84.6605,0.2461,0.089
144394,13414,230,1,97.2716,0.0577,0.0689
570958,13432,234,8,322.8719,0.027,0.0909
803421,13457,201,4,59.307,0.2456,0.067
76552,13470,155,9,181.4237,0.0734,0.0684
227734,13474,125,1,104.132,0.1743,0.1049
702688,13594,45,4,26.248,0.1998,0.1414
107650,13639,29,5,349.1615,0.1404,0.0938
318563,13819,19,6,149.3991,0.1178,0.0681
561063,13890,73,7,214.8877,0.0421,0.0623
182908,13969,82,5,345.9635,0.1689,0.1411
360491,14132,141,10,403.043,0.0031,0.1229
786904,14205,168,4,388.4157,0.1284,0.1116
699808,14212,2,2,192.7915,0.1623,0.097
651982,14319,18,4,180.1159,0.2218,0.0894
791499,14405,241,4,87.437,0.0314,0.1307
45478,14484,80,6,383.5714,0.1206,0.1202
599392,14528,10,2,50.772,0.2267,0.1103
516600,14788,55,2,418.0259,0.0634,0.0733
571363,14862,211,4,27.2063,0.2491,0.1066
112948,15096,205,2,106.6859,0.1156,0.1145
900237,15237,17,2,193.9788,0.1835,0.1331
357731,15302,122,9,435.7979,0.0973,0.0961
789654,15332,120,1,392.7387,0.0389,0.0589
348614,15363,134,3,11.4354,0.04,0.1358
79865,15561,12,3,48.3958,0.2048,0.1012
834570,15571,203,10,459.7919,0.2107,0.0828
716909,15669,97,8,167.2334,0.1987,0.0711
722568,15762,108,3,6.0912,0.1168,0.0945
611176,15902,224,9,478.3425,0.2215,0.106
177293,15944,36,7,32.9162,0.2235,0.0797
981535,16031,7,10,272.3851,0.1668,0.0534
915547,16047,60,10,90.4628,0.0695,0.111
585289,16061,212,1,377.1353,0.1772,0.0757
13417,16095,67,1,401.7661,0.1871,0.0924
813186,16105,78,5,295.3346,0.154,0.096
839306,16123,98,1,475.8224,0.055,0.1357
28281,16186,118,1,172.7234,0.1626,0.1304
213156,16195,12,6,439.163,0.0804,0.1
579509,16264,13,10,475.7938,0.0786,0.1032
