sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-01-27T03:29:32,33,SHELF-A09A,10.29,34.83,3334
2025-01-26T08:43:26,33,SHELF-9---,14.55,45.03,3839
2025-01-09T07:09:52,33,SHELF-90ZA,3.14,68.12,3362
2025-01-28T19:19:27,33,SHELF-9-Z-,33.82,23.16,3100
2025-01-16T13:37:17,33,SHELF-0-ZZ,1.99,40.59,3655
2025-01-07T04:00:25,33,SHELF-A9-Z,21.3,29.67,3319
2025-01-14T05:10:21,33,SHELF--9--,4.14,38.47,3264
2025-01-26T08:30:46,33,SHELF-090Z,3.98,56.76,3080
2025-01-20T04:38:49,33,SHELF-A09A,14.21,20.58,3345
2025-01-25T20:22:43,33,SHELF-00-0,9.11,28.49,3755
2025-01-08T03:34:20,33,SHELF----Z,35.49,36.35,3398
2025-01-30T11:08:08,33,SHELF-ZZZ-,32.7,41.82,3611
2025-01-15T01:10:01,33,SHELF-Z990,21.04,71.1,3696
2025-01-02T19:32:57,33,SHELF-A--9,21.18,21.93,4067
2025-01-13T03:53:17,33,SHELF-Z00-,18.93,70.16,3015
2025-01-25T23:40:30,33,SHELF-ZZA9,16.6,68.05,3415
2025-01-02T15:07:04,33,SHELF--A--,1.81,30.53,4151
2025-01-24T11:11:50,33,SHELF--00-,32.66,43.26,3062
2025-01-31T05:30:01,33,SHELF-----,9.87,30.2,3519
2025-01-25T05:30:32,33,SHELF-Z-AZ,28.74,43.69,4076
2025-01-19T16:17:57,33,SHELF-Z990,39.37,55.88,4139
2025-01-15T11:53:22,33,SHELF-Z-90,34.64,27.91,3164
2025-01-09T21:11:36,33,SHELF--00-,2.45,54.27,3752
2025-01-31T20:52:12,33,SHELF-A---,25.92,28.17,3604
2025-01-21T06:25:45,33,SHELF-ZZA9,36.27,44.03,3201
2025-01-26T09:07:00,33,SHELF-Z00-,30.6,39.41,3988
2025-01-15T05:44:17,33,SHELF-A--0,34.92,36.33,3341
2025-01-28T08:22:37,33,SHELF-090Z,15.87,32.02,4170
2025-01-22T10:31:47,33,SHELF-Z09-,36.19,65.16,3392
2025-01-23T05:53:50,33,SHELF-A00Z,11.9,33.1,3874
2025-01-25T15:32:20,33,SHELF-A-A9,12.65,71.78,3852
