order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
51,2024-02-29T05:45:09,2024-02-29,897,113,Online,Credit Card,COUPON--AA,10.82,AUD
82,2024-02-29T06:18:56,2024-02-29,825,84,Retail,PayPal,COUPON9--0,1.8,AUD
331,2024-02-29T19:27:34,2024-02-29,898,59,Online,PayPal,COUPON9ZZ0,6.63,AUD
348,2024-02-29T20:01:43,2024-02-29,888,139,Online,Afterpay,COUPONZZA0,14.6,AUD
703,2024-02-29T02:47:47,2024-02-29,838,96,Online,Credit Card,COUPONA-AA,4.53,AUD
716,2024-02-29T21:49:30,2024-02-29,838,121,Online,PayPal,COUPON9---,15.5,AUD
717,2024-02-29T00:26:28,2024-02-29,883,81,Retail,PayPal,COUPON0A0A,16.16,AUD
727,2024-02-29T22:07:09,2024-02-29,816,65,Retail,Afterpay,COUPON-A0Z,2.43,AUD
765,2024-02-29T16:12:49,2024-02-29,890,119,Online,Afterpay,COUPON-0AA,10.77,AUD
804,2024-02-29T07:55:10,2024-02-29,857,120,Online,PayPal,COUPON-00-,13.9,AUD
836,2024-02-29T01:01:39,2024-02-29,884,103,Online,PayPal,COUPONZ-A-,12.27,AUD
1204,2024-02-29T13:22:10,2024-02-29,876,60,Retail,PayPal,COUPONZ0--,1.14,AUD
1261,2024-02-29T04:28:31,2024-02-29,827,67,Retail,Afterpay,COUPONZ-9Z,13.92,AUD
1267,2024-02-29T13:07:43,2024-02-29,838,144,Retail,PayPal,COUPON0A9A,2.83,AUD
1275,2024-02-29T23:47:12,2024-02-29,868,68,Online,PayPal,COUPONAA90,18.89,AUD
1295,2024-02-29T22:54:37,2024-02-29,819,71,Retail,PayPal,COUPON--Z-,7.96,AUD
1422,2024-02-29T17:38:14,2024-02-29,877,53,Retail,Credit Card,COUPON000-,12.75,AUD
1682,2024-02-29T08:18:58,2024-02-29,868,65,Online,PayPal,COUPON----,18.79,AUD
1863,2024-02-29T05:53:55,2024-02-29,817,141,Retail,PayPal,COUPON0A9Z,9.44,AUD
1990,2024-02-29T00:34:06,2024-02-29,874,124,Online,Credit Card,COUPONAA--,10.29,AUD
2124,2024-02-29T15:29:08,2024-02-29,843,141,Online,Credit Card,COUPON-Z0-,17.0,AUD
2268,2024-02-29T21:52:44,2024-02-29,813,129,Retail,Credit Card,COUPON-990,15.92,AUD
2376,2024-02-29T17:58:42,2024-02-29,842,55,Retail,PayPal,COUPON9-0A,5.73,AUD
2381,2024-02-29T01:12:21,2024-02-29,821,129,Online,Afterpay,COUPON-AZA,8.29,AUD
2468,2024-02-29T12:01:25,2024-02-29,800,130,Online,Afterpay,COUPON--9-,3.26,AUD
2480,2024-02-29T00:04:51,2024-02-29,856,124,Online,PayPal,COUPONA90A,13.15,AUD
2689,2024-02-29T05:31:58,2024-02-29,872,125,Online,Credit Card,COUPON-AZ9,14.1,AUD
2765,2024-02-29T03:08:46,2024-02-29,863,67,Online,Credit Card,COUPON---Z,13.69,AUD
2857,2024-02-29T01:20:48,2024-02-29,813,138,Retail,PayPal,COUPON-Z0-,7.39,AUD
3012,2024-02-29T00:06:49,2024-02-29,812,115,Online,Credit Card,COUPONZA9Z,17.39,AUD
3165,2024-02-29T13:15:55,2024-02-29,881,67,Retail,Credit Card,COUPONZ0AA,6.08,AUD
3415,2024-02-29T00:32:28,2024-02-29,809,70,Retail,Afterpay,COUPON---9,16.53,AUD
3493,2024-02-29T09:14:59,2024-02-29,873,113,Retail,Afterpay,COUPON9Z--,18.2,AUD
3635,2024-02-29T00:26:26,2024-02-29,884,121,Retail,Credit Card,COUPONZ0AA,7.68,AUD
3682,2024-02-29T08:16:17,2024-02-29,859,145,Online,PayPal,COUPON9999,7.35,AUD
4339,2024-02-29T13:51:43,2024-02-29,865,137,Online,PayPal,COUPONAZ99,1.42,AUD
4402,2024-02-29T01:53:59,2024-02-29,810,125,Online,Credit Card,COUPON0-0Z,5.1,AUD
4582,2024-02-29T05:22:34,2024-02-29,860,128,Retail,PayPal,COUPON-A-0,3.08,AUD
4588,2024-02-29T17:00:34,2024-02-29,803,98,Online,Afterpay,COUPONZ-9-,12.87,AUD
4774,2024-02-29T09:27:39,2024-02-29,865,133,Retail,Afterpay,COUPON0--9,2.0,AUD
5177,2024-02-29T11:31:35,2024-02-29,826,54,Online,Credit Card,COUPONA0ZZ,18.92,AUD
5183,2024-02-29T05:31:15,2024-02-29,878,58,Retail,PayPal,COUPON--0Z,2.47,AUD
5350,2024-02-29T17:50:01,2024-02-29,871,120,Retail,Credit Card,COUPON0-90,11.49,AUD
5359,2024-02-29T05:57:41,2024-02-29,841,146,Online,Afterpay,COUPON9AZA,18.11,AUD
5440,2024-02-29T19:47:27,2024-02-29,813,141,Online,PayPal,COUPON9Z-0,10.49,AUD
5446,2024-02-29T14:49:36,2024-02-29,816,93,Retail,Afterpay,COUPON0--0,14.62,AUD
5457,2024-02-29T12:15:01,2024-02-29,816,75,Online,Afterpay,COUPONA-00,14.51,AUD
5503,2024-02-29T20:47:34,2024-02-29,844,118,Retail,Credit Card,COUPON-ZZ0,18.75,AUD
5561,2024-02-29T03:50:58,2024-02-29,889,123,Retail,PayPal,COUPON90AA,0.81,AUD
5657,2024-02-29T17:38:08,2024-02-29,815,121,Online,PayPal,COUPON-A09,13.02,AUD
5698,2024-02-29T09:08:17,2024-02-29,850,81,Retail,Credit Card,COUPONZ9Z-,16.08,AUD
5740,2024-02-29T09:58:51,2024-02-29,877,135,Retail,Afterpay,COUPON90-9,9.24,AUD
5815,2024-02-29T10:10:27,2024-02-29,800,66,Online,Afterpay,COUPON9-0A,9.75,AUD
6135,2024-02-29T03:37:45,2024-02-29,835,109,Retail,Afterpay,COUPON-AZ-,16.24,AUD
6143,2024-02-29T02:25:06,2024-02-29,831,121,Online,PayPal,COUPONZ-0Z,6.67,AUD
6305,2024-02-29T02:38:05,2024-02-29,803,87,Retail,Afterpay,COUPONAA99,4.93,AUD
6311,2024-02-29T14:27:36,2024-02-29,854,97,Online,Credit Card,COUPON--ZA,14.38,AUD
6591,2024-02-29T18:00:41,2024-02-29,870,121,Retail,PayPal,COUPONA0-A,8.87,AUD
6733,2024-02-29T21:12:19,2024-02-29,857,114,Retail,PayPal,COUPON0Z-A,9.46,AUD
7166,2024-02-29T23:35:43,2024-02-29,888,76,Online,Afterpay,COUPONAZ9-,2.18,AUD
7342,2024-02-29T19:23:38,2024-02-29,875,51,Online,PayPal,COUPONZ-9-,8.4,AUD
7378,2024-02-29T17:12:00,2024-02-29,836,92,Retail,PayPal,COUPON--0-,6.42,AUD
7468,2024-02-29T07:34:21,2024-02-29,858,89,Online,Afterpay,COUPONA--A,12.66,AUD
7575,2024-02-29T15:14:17,2024-02-29,801,64,Retail,Credit Card,COUPON-Z--,13.07,AUD
7615,2024-02-29T09:41:01,2024-02-29,873,72,Online,PayPal,COUPON-9-A,13.97,AUD
7652,2024-02-29T10:23:55,2024-02-29,849,87,Retail,PayPal,COUPON-A0-,4.22,AUD
7847,2024-02-29T23:07:28,2024-02-29,875,139,Retail,Credit Card,COUPONZA--,10.79,AUD
7881,2024-02-29T00:39:20,2024-02-29,897,131,Online,Afterpay,COUPONZ--0,0.76,AUD
8090,2024-02-29T09:02:57,2024-02-29,881,131,Retail,Afterpay,COUPON---Z,8.85,AUD
8145,2024-02-29T18:58:46,2024-02-29,845,77,Online,Afterpay,COUPON9-Z0,0.26,AUD
8191,2024-02-29T21:07:53,2024-02-29,835,108,Online,Afterpay,COUPON0A--,5.7,AUD
8271,2024-02-29T20:48:42,2024-02-29,821,81,Retail,Credit Card,COUPON9-0-,14.85,AUD
8440,2024-02-29T19:54:33,2024-02-29,843,50,Retail,PayPal,COUPONAZ-Z,18.87,AUD
8445,2024-02-29T22:53:59,2024-02-29,803,125,Retail,Afterpay,COUPONZ-A-,5.9,AUD
8492,2024-02-29T08:39:48,2024-02-29,871,139,Online,PayPal,COUPONA-99,15.32,AUD
8498,2024-02-29T21:53:31,2024-02-29,849,95,Retail,Credit Card,COUPONA9-Z,16.4,AUD
8505,2024-02-29T23:10:50,2024-02-29,867,100,Retail,Credit Card,COUPONZ9-9,7.18,AUD
8584,2024-02-29T22:50:14,2024-02-29,835,131,Online,PayPal,COUPON-A0Z,17.15,AUD
8713,2024-02-29T03:39:19,2024-02-29,891,137,Online,Credit Card,COUPONA9--,13.82,AUD
8846,2024-02-29T19:27:09,2024-02-29,825,59,Online,Credit Card,COUPON9-A9,14.62,AUD
8993,2024-02-29T17:49:50,2024-02-29,818,80,Retail,PayPal,COUPON90Z0,2.06,AUD
9051,2024-02-29T20:39:03,2024-02-29,843,99,Online,Credit Card,COUPONZ00Z,16.08,AUD
9341,2024-02-29T03:54:12,2024-02-29,859,93,Retail,PayPal,COUPONAAZ0,10.46,AUD
9563,2024-02-29T04:14:53,2024-02-29,898,140,Retail,Credit Card,COUPONZ0--,14.02,AUD
9816,2024-02-29T20:04:50,2024-02-29,820,148,Retail,PayPal,COUPONZ9-A,18.11,AUD
9905,2024-02-29T09:17:52,2024-02-29,874,51,Online,Afterpay,COUPON-ZAZ,9.08,AUD
9930,2024-02-29T07:39:49,2024-02-29,855,112,Retail,PayPal,COUPON00Z9,16.57,AUD
10030,2024-02-29T18:36:28,2024-02-29,50,43,Retail,Credit Card,COUPON--Z-,0.66,AUD
10134,2024-02-29T05:45:54,2024-02-29,599,46,Retail,Credit Card,COUPON00--,5.28,AUD
10382,2024-02-29T08:40:56,2024-02-29,133,12,Online,Afterpay,COUPON90-0,1.18,AUD
10488,2024-02-29T05:31:12,2024-02-29,382,8,Online,Afterpay,COUPON9-A-,3.45,AUD
10572,2024-02-29T16:09:50,2024-02-29,671,19,Retail,Credit Card,COUPON--9-,9.07,AUD
11014,2024-02-29T00:28:30,2024-02-29,696,40,Online,PayPal,COUPONZA-9,10.48,AUD
11194,2024-02-29T20:34:51,2024-02-29,540,35,Retail,Credit Card,COUPONZ09A,19.35,AUD
11227,2024-02-29T11:58:40,2024-02-29,381,15,Retail,PayPal,COUPON9Z-A,19.35,AUD
11280,2024-02-29T03:22:16,2024-02-29,204,13,Retail,Credit Card,COUPON--9-,0.17,AUD
11321,2024-02-29T18:18:25,2024-02-29,761,22,Retail,PayPal,COUPON9Z-0,11.64,AUD
11376,2024-02-29T05:31:00,2024-02-29,79,12,Retail,Afterpay,COUPONAA0-,4.88,AUD
11390,2024-02-29T08:38:03,2024-02-29,297,31,Retail,PayPal,COUPON909A,18.63,AUD
11521,2024-02-29T13:47:17,2024-02-29,568,1,Retail,Credit Card,COUPON00-Z,14.71,AUD
