sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-04-01T20:29:08,13,SHELF--Z--,20.03,75.75,3866
2025-04-01T17:59:55,13,SHELF---A-,39.74,71.22,3435
2025-04-01T02:24:48,13,SHELF-9--Z,21.99,69.4,3493
2025-04-01T13:11:24,13,SHELF-9-AA,16.06,50.78,3711
2025-04-01T21:47:19,13,SHELF--AA0,23.47,44.67,3636
2025-04-01T23:35:46,13,SHELF-000-,34.52,34.67,4040
2025-04-01T06:59:54,13,SHELF-9-ZA,8.45,47.88,3813
2025-04-01T02:20:51,13,SHELF-Z-AA,8.41,66.32,3350
2025-04-01T00:30:20,13,SHELF-0-AA,33.45,58.24,3446
2025-04-01T08:58:06,13,SHELF-A99A,8.45,39.36,3913
2025-04-01T15:08:52,13,SHELF--A0-,28.39,45.08,3346
2025-04-01T01:04:04,13,SHELF--0-9,5.86,74.87,3561
2025-04-01T04:23:21,13,SHELF--99-,2.62,62.01,3429
2025-04-01T20:10:21,13,SHELF-ZZ9-,6.33,33.61,3653
2025-04-01T02:42:31,13,SHELF-909Z,22.47,45.99,3705
2025-04-01T09:29:13,13,SHELF-9--Z,36.24,20.19,3173
2025-04-01T07:09:17,13,SHELF----9,22.17,31.6,3074
2025-04-01T19:54:21,13,SHELF-ZA--,13.93,47.85,3398
2025-04-01T12:40:04,13,SHELF-90-0,32.54,54.12,3859
2025-04-01T00:06:44,13,SHELF--0-9,3.24,28.81,3223
2025-04-01T13:37:29,13,SHELF-9-0-,7.73,53.31,3003
2025-04-01T21:52:12,13,SHELF---9Z,19.37,30.76,3853
2025-04-01T18:55:49,13,SHELF--Z0Z,28.22,43.13,3675
2025-04-01T22:16:23,13,SHELF-990-,6.42,60.24,3499
2025-04-01T02:21:11,13,SHELF---0A,24.98,43.6,3358
2025-04-01T04:54:09,13,SHELF-A-ZZ,6.19,20.1,3395
2025-04-01T16:20:04,13,SHELF--A-0,30.91,67.78,3822
2025-04-01T15:46:03,13,SHELF-9-ZA,6.11,29.13,3153
2025-04-01T03:09:33,13,SHELF---09,37.37,63.34,3543
2025-04-01T12:52:35,13,SHELF-AA-Z,36.43,73.1,3585
2025-04-01T05:06:00,13,SHELF--99-,3.68,64.22,3341
