order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
140,2024-03-04T15:42:05,2024-03-04,803,106,Retail,Afterpay,COUPON--Z0,19.18,AUD
168,2024-03-04T03:25:06,2024-03-04,840,104,Retail,Credit Card,COUPONAZ0-,6.94,AUD
184,2024-03-04T09:50:22,2024-03-04,802,136,Online,Afterpay,COUPON0-Z-,17.37,AUD
198,2024-03-04T12:49:05,2024-03-04,812,72,Retail,PayPal,COUPONZAAA,9.41,AUD
254,2024-03-04T23:41:19,2024-03-04,855,104,Retail,Credit Card,COUPON9-ZA,10.28,AUD
354,2024-03-04T23:14:01,2024-03-04,810,139,Online,Credit Card,COUPONZZ99,7.62,AUD
452,2024-03-04T07:33:13,2024-03-04,858,62,Online,Credit Card,COUPON09Z-,10.89,AUD
627,2024-03-04T17:03:18,2024-03-04,875,73,Retail,Afterpay,COUPON9AA0,16.16,AUD
853,2024-03-04T08:18:39,2024-03-04,826,73,Retail,Afterpay,COUPONAZ9-,3.57,AUD
877,2024-03-04T16:31:18,2024-03-04,844,146,Online,Afterpay,COUPON0-99,3.07,AUD
912,2024-03-04T17:34:48,2024-03-04,837,121,Online,Afterpay,COUPON0A09,16.78,AUD
1005,2024-03-04T09:18:53,2024-03-04,800,108,Retail,Credit Card,COUPONZ000,4.42,AUD
1027,2024-03-04T01:51:32,2024-03-04,821,98,Retail,Credit Card,COUPON0009,3.01,AUD
1079,2024-03-04T21:49:07,2024-03-04,855,102,Retail,Credit Card,COUPON9-ZA,8.85,AUD
1142,2024-03-04T01:22:06,2024-03-04,824,88,Retail,PayPal,COUPON9A0A,7.39,AUD
1196,2024-03-04T02:28:39,2024-03-04,815,72,Retail,PayPal,COUPON09Z9,8.05,AUD
1239,2024-03-04T23:39:07,2024-03-04,844,116,Online,Afterpay,COUPON-ZZ9,15.63,AUD
1250,2024-03-04T04:17:21,2024-03-04,818,96,Retail,PayPal,COUPON-A--,17.82,AUD
1309,2024-03-04T14:40:05,2024-03-04,858,137,Retail,Afterpay,COUPON0Z--,0.48,AUD
1338,2024-03-04T05:56:59,2024-03-04,856,71,Online,PayPal,COUPON-09-,12.82,AUD
1391,2024-03-04T16:39:49,2024-03-04,859,108,Retail,Credit Card,COUPONZZ00,17.07,AUD
1524,2024-03-04T16:55:28,2024-03-04,845,68,Online,PayPal,COUPONA0A-,15.53,AUD
1535,2024-03-04T00:18:20,2024-03-04,846,70,Online,Afterpay,COUPONA0--,18.93,AUD
1551,2024-03-04T04:22:06,2024-03-04,897,103,Online,PayPal,COUPON-A9-,7.09,AUD
1687,2024-03-04T16:55:18,2024-03-04,804,128,Online,Afterpay,COUPONA-0-,1.08,AUD
1722,2024-03-04T04:59:17,2024-03-04,844,50,Retail,Afterpay,COUPONZ0--,14.17,AUD
1806,2024-03-04T18:10:04,2024-03-04,813,64,Retail,PayPal,COUPONA0ZA,11.24,AUD
1872,2024-03-04T07:13:10,2024-03-04,820,63,Online,PayPal,COUPONA0-Z,19.84,AUD
1889,2024-03-04T20:09:24,2024-03-04,864,124,Retail,Credit Card,COUPONA009,15.34,AUD
