sensor_ts,store_id,shelf_id,temperature_c,humidity_pct,battery_mv
2025-03-03T14:16:55,31,SHELF-Z990,31.56,46.0,3232
2025-03-19T14:48:55,31,SHELF-90ZA,18.46,48.7,3619
2025-03-11T03:32:18,31,SHELF-90--,4.79,54.85,3578
2025-03-03T02:07:16,31,SHELF-Z-90,35.58,72.05,3517
2025-03-25T18:25:44,31,SHELF-0Z-A,27.71,37.1,3068
2025-03-07T15:08:32,31,SHELF-A-0-,19.32,38.83,4057
2025-03-10T12:32:21,31,SHELF-90ZA,12.44,26.52,3379
2025-03-25T05:36:39,31,SHELF-9A-Z,20.92,29.73,3061
2025-03-17T07:43:55,31,SHELF--0-9,25.33,65.25,3391
2025-03-19T15:13:29,31,SHELF-A-ZA,39.58,73.88,3225
2025-03-22T02:15:00,31,SHELF-A---,34.1,49.84,4132
2025-03-29T14:55:12,31,SHELF-Z-0-,20.52,78.53,3793
2025-03-06T12:15:15,31,SHELF-9ZZZ,26.66,55.72,4101
2025-03-14T13:17:23,31,SHELF--0-9,26.99,78.06,3706
2025-03-16T05:01:10,31,SHELF----A,29.28,41.05,3914
2025-03-30T22:41:56,31,SHELF-A9-Z,31.86,39.28,3286
2025-03-22T14:38:31,31,SHELF-A99-,13.58,59.24,4103
2025-03-16T07:18:40,31,SHELF--9-0,31.9,27.85,3427
2025-03-18T12:50:53,31,SHELF-A9AA,6.36,24.99,3752
2025-03-01T11:53:32,31,SHELF-ZZZ-,20.42,27.42,4110
2025-03-18T05:12:50,31,SHELF-A99-,28.63,23.13,3285
2025-03-02T17:24:21,31,SHELF-ZZA9,38.07,61.99,3946
2025-03-26T03:08:47,31,SHELF-----,27.89,37.28,3608
2025-03-23T19:51:09,31,SHELF---9-,14.46,60.74,3633
2025-03-06T03:21:35,31,SHELF-0AA-,1.94,46.11,3483
2025-03-13T10:02:46,31,SHELF--ZZ-,27.34,60.86,3457
2025-03-24T02:52:44,31,SHELF-Z00-,28.07,54.33,3421
2025-03-21T23:53:44,31,SHELF-ZZA9,36.28,46.09,3595
2025-03-26T21:56:08,31,SHELF-Z990,31.05,22.78,3267
2025-03-17T13:58:42,31,SHELF--0AZ,15.23,70.35,3523
2025-03-19T21:20:42,31,SHELF--9-A,25.57,41.57,3815
2025-03-27T20:21:20,31,SHELF-Z-90,32.5,63.56,3477
2025-03-29T01:29:11,31,SHELF-090Z,8.09,57.92,3251
2025-03-28T13:33:12,31,SHELF-Z99Z,21.26,60.47,3659
2025-03-07T23:57:25,31,SHELF-A---,30.17,70.42,3303
2025-03-31T20:21:38,31,SHELF-99Z-,33.94,31.29,4033
2025-03-30T09:49:11,31,SHELF--0-9,36.13,58.17,3241
2025-03-25T06:28:10,31,SHELF-9A9A,14.7,29.96,3489
2025-03-03T15:45:13,31,SHELF-0--A,33.73,25.68,4078
2025-03-31T14:09:46,31,SHELF--0-Z,49.15,108.55,3468
2025-03-12T07:24:24,31,SHELF-A--0,15.86,61.59,3584
2025-03-13T04:29:33,31,SHELF-A--9,14.02,36.2,3710
2025-03-02T07:15:46,31,SHELF--0--,34.77,41.7,4042
2025-03-28T07:55:04,31,SHELF-090Z,17.9,46.23,3017
2025-03-01T05:05:01,31,SHELF-A9-Z,30.59,43.44,4039
2025-03-18T18:52:38,31,SHELF--9-A,26.54,42.2,3398
2025-03-15T05:07:35,31,SHELF-0--A,38.6,70.69,3993
2025-03-08T02:32:57,31,SHELF-9---,34.93,76.81,4185
2025-03-19T00:11:56,31,SHELF-ZZZ-,13.08,29.81,3256
2025-03-01T02:24:13,31,SHELF--9Z0,23.87,37.92,3352
2025-03-05T18:38:29,31,SHELF---A-,34.59,48.66,3644
2025-03-13T20:34:45,31,SHELF-Z-0-,6.62,53.87,3323
2025-03-24T20:27:39,31,SHELF-A-9Z,13.17,71.19,3347
2025-03-03T08:57:34,31,SHELF--0-9,5.23,37.38,3410
2025-03-05T12:38:57,31,SHELF-0Z-A,6.91,51.51,3815
2025-03-04T03:26:16,31,SHELF-Z99Z,32.26,77.71,3666
2025-03-13T10:21:16,31,SHELF--9-A,10.71,53.68,3813
2025-03-25T16:18:54,31,SHELF-0-9-,27.06,61.23,3549
2025-03-31T01:49:20,31,SHELF-A-0-,39.68,28.37,3325
2025-03-23T21:48:14,31,SHELF-Z0--,21.14,38.75,3399
2025-03-05T23:12:35,31,SHELF-99-Z,38.99,20.37,3111
2025-03-09T20:41:15,31,SHELF--ZA0,37.3,30.08,3865
2025-03-15T12:52:24,31,SHELF-Z00-,22.03,62.25,4191
2025-03-27T14:51:55,31,SHELF---9-,37.11,56.84,3591
2025-03-28T00:21:03,31,SHELF-99Z-,14.94,24.15,3417
2025-03-29T13:49:29,31,SHELF--0AZ,15.61,69.31,3773
2025-03-09T19:31:26,31,SHELF----A,23.04,31.44,4003
2025-03-25T00:03:29,31,SHELF--9--,28.59,69.62,3999
2025-03-12T08:59:53,31,SHELF-A9-Z,36.43,40.66,3515
2025-03-03T14:14:06,31,SHELF-0AA-,4.51,61.76,3480
2025-03-15T00:29:58,31,SHELF-Z-90,1.29,64.9,3659
2025-03-02T07:12:59,31,SHELF-090Z,19.16,24.6,3642
2025-03-04T04:10:51,31,SHELF-0-9-,21.6,71.41,3202
2025-03-25T23:11:13,31,SHELF-Z990,9.75,76.23,3641
2025-03-19T18:59:02,31,SHELF-0A0-,20.75,27.21,3473
2025-03-08T04:41:55,31,SHELF--A99,6.56,55.55,4044
2025-03-30T12:25:00,31,SHELF-A---,12.13,56.95,4165
2025-03-30T12:26:30,31,SHELF--9Z0,21.0,71.54,3994
2025-03-12T09:08:36,31,SHELF-9-9A,9.07,34.47,3759
2025-03-02T19:05:47,31,SHELF-90ZA,31.88,32.11,4140
2025-03-04T03:28:24,31,SHELF-A--0,4.28,77.35,4175
2025-03-19T14:11:46,31,SHELF----Z,28.59,49.99,3716
2025-03-31T12:47:51,31,SHELF-90ZA,17.14,36.81,3394
2025-03-19T09:53:41,31,SHELF----0,9.77,66.35,4153
2025-03-14T14:12:14,31,SHELF-A00Z,35.62,77.48,4067
2025-03-12T00:25:13,31,SHELF-0--0,15.85,63.67,3725
2025-03-15T08:01:26,31,SHELF--9-0,4.77,72.43,4092
2025-03-12T11:35:51,31,SHELF-A---,27.05,42.31,3576
2025-03-22T20:12:29,31,SHELF-90--,14.95,20.34,3841
2025-03-27T03:19:32,31,SHELF-A09A,25.59,76.65,4000
2025-03-16T17:15:06,31,SHELF--00-,8.04,24.54,3515
2025-03-11T00:25:22,31,SHELF--0AZ,14.07,27.49,3666
2025-03-12T06:44:49,31,SHELF-9-9A,34.52,44.86,3789
2025-03-24T09:41:17,31,SHELF-99--,11.38,24.28,3842
2025-03-19T01:19:00,31,SHELF-99-Z,32.7,66.2,3904
2025-03-05T16:39:38,31,SHELF-A9A-,33.54,50.11,4147
2025-03-26T11:27:56,31,SHELF-0--A,23.29,70.83,3588
2025-03-07T18:17:01,31,SHELF-A-9Z,16.47,74.85,3892
2025-03-09T15:05:27,31,SHELF--9-9,32.83,37.22,3461
2025-03-08T09:59:34,31,SHELF-A-9Z,28.42,24.09,3953
2025-03-13T17:30:38,31,SHELF-00--,28.57,78.94,4175
2025-03-16T12:20:12,31,SHELF-90--,30.77,55.43,4062
2025-03-11T22:31:57,31,SHELF-Z-0-,38.8,39.63,3781
2025-03-17T00:57:44,31,SHELF-0AA-,24.86,36.8,3268
2025-03-06T07:50:53,31,SHELF-00--,21.18,72.64,3376
2025-03-15T07:18:06,31,SHELF-9-Z-,12.8,60.69,3484
2025-03-07T16:25:54,31,SHELF--0ZZ,36.01,63.27,4121
2025-03-04T01:40:18,31,SHELF-A9A-,38.78,74.56,3559
2025-03-04T02:57:50,31,SHELF-Z00-,0.79,22.35,3002
2025-03-21T00:49:26,31,SHELF--0-Z,33.62,27.56,4113
2025-03-17T10:53:19,31,SHELF-9ZZZ,21.41,28.68,3468
2025-03-21T17:02:41,31,SHELF--9--,15.88,34.72,3653
2025-03-17T20:22:23,31,SHELF-A9Z0,36.0,77.3,4161
2025-03-30T08:07:20,31,SHELF-A-9A,36.94,57.74,3094
2025-03-14T19:49:46,31,SHELF--0ZZ,18.63,78.57,3479
2025-03-17T15:35:18,31,SHELF-A09A,25.53,63.1,3143
2025-03-03T22:39:27,31,SHELF-A-9Z,28.01,25.07,3366
2025-03-09T23:19:54,31,SHELF-9A-A,24.81,37.11,3585
2025-03-05T12:59:34,31,SHELF-9A9A,16.42,50.57,3615
2025-03-22T22:11:56,31,SHELF-0Z-A,31.58,45.41,3691
2025-03-13T15:05:30,31,SHELF-Z-0-,1.17,56.62,3894
2025-03-15T01:42:00,31,SHELF--ZA0,22.17,45.26,3378
2025-03-04T03:05:40,31,SHELF---A-,27.94,24.7,3964
2025-03-30T04:56:59,31,SHELF--ZA0,32.22,51.63,3185
2025-03-29T09:11:16,31,SHELF-ZA9-,0.44,49.97,3341
2025-03-05T19:07:56,31,SHELF-0-9-,32.55,51.47,3739
2025-03-07T23:54:17,31,SHELF-9A-Z,23.12,63.04,3408
2025-03-31T05:16:39,31,SHELF-A--0,5.74,31.4,3364
2025-03-29T00:51:56,31,SHELF-Z990,23.18,47.55,3066
2025-03-14T13:43:38,31,SHELF-ZZA9,21.05,70.0,4191
2025-03-05T20:47:40,31,SHELF--9-0,15.82,53.85,3862
2025-03-11T04:47:55,31,SHELF-Z-A-,22.34,54.49,3433
2025-03-08T15:35:14,31,SHELF-AZ9Z,18.48,45.64,3666
2025-03-08T11:20:45,31,SHELF---A-,39.17,75.52,3526
2025-03-22T17:55:08,31,SHELF-90ZA,30.56,64.38,3858
2025-03-22T21:14:45,31,SHELF----Z,16.01,44.12,4125
2025-03-21T04:04:15,31,SHELF-A-A9,12.95,54.62,3690
2025-03-13T04:27:55,31,SHELF--0ZZ,32.14,52.46,3083
2025-03-04T18:05:49,31,SHELF--9Z0,2.62,26.75,3201
2025-03-05T21:47:26,31,SHELF--0--,23.63,63.65,3615
2025-03-17T13:21:54,31,SHELF-A9Z0,17.0,52.9,3971
2025-03-04T14:52:32,31,SHELF-A-9Z,33.99,79.66,3609
2025-03-09T23:09:31,31,SHELF--9--,10.97,65.62,3272
2025-03-21T22:12:31,31,SHELF-0Z-A,29.84,29.91,4081
2025-03-23T05:27:35,31,SHELF-Z-9Z,20.35,24.0,3957
2025-03-27T00:34:38,31,SHELF--9-9,4.29,34.44,3294
2025-03-27T16:03:49,31,SHELF--0AZ,25.99,38.36,3723
2025-03-14T17:35:33,31,SHELF-0--A,16.3,52.63,3079
2025-03-26T16:31:56,31,SHELF-Z-A-,31.89,62.83,3416
2025-03-17T00:31:55,31,SHELF-A99-,29.0,66.37,3616
2025-03-16T18:20:40,31,SHELF-9-9A,23.72,43.94,3043
2025-03-10T18:31:41,31,SHELF-A9-Z,37.99,21.9,3294
2025-03-13T13:55:17,31,SHELF---9-,28.69,48.95,4082
