order_id,order_ts,order_dt_local,customer_id,store_id,channel,payment_method,coupon_code,shipping_fee,currency
20,2024-03-18T14:05:28,2024-03-18,832,56,Retail,PayPal,COUPONA90-,6.58,AUD
452,2024-03-18T12:18:15,2024-03-18,812,99,Online,PayPal,COUPON9---,13.84,AUD
515,2024-03-18T11:39:03,2024-03-18,883,117,Online,PayPal,COUPON0-ZA,13.93,AUD
609,2024-03-18T21:31:10,2024-03-18,877,89,Online,Credit Card,COUPON-AA9,0.03,AUD
632,2024-03-18T02:14:59,2024-03-18,801,58,Online,Afterpay,COUPON9-9Z,0.43,AUD
720,2024-03-18T07:08:29,2024-03-18,873,56,Online,Afterpay,COUPON--90,9.35,AUD
1041,2024-03-18T08:41:31,2024-03-18,855,115,Retail,Credit Card,COUPON9--A,6.34,AUD
1306,2024-03-18T09:17:20,2024-03-18,828,109,Online,PayPal,COUPON--0-,19.55,AUD
1412,2024-03-18T08:03:33,2024-03-18,825,87,Retail,PayPal,COUPON0-9-,15.49,AUD
1430,2024-03-18T08:41:34,2024-03-18,848,129,Retail,Afterpay,COUPONZZ-9,13.33,AUD
1477,2024-03-18T00:21:26,2024-03-18,843,144,Online,Credit Card,COUPON0-0-,5.04,AUD
1481,2024-03-18T07:29:40,2024-03-18,831,64,Retail,Credit Card,COUPON--0-,19.93,AUD
1572,2024-03-18T06:11:44,2024-03-18,877,119,Retail,PayPal,COUPON90--,15.67,AUD
1595,2024-03-18T21:58:44,2024-03-18,806,79,Retail,PayPal,COUPONA9--,18.38,AUD
1954,2024-03-18T03:57:12,2024-03-18,887,74,Retail,Afterpay,COUPONAZA0,1.92,AUD
2029,2024-03-18T09:11:52,2024-03-18,824,55,Online,PayPal,COUPONAZ0Z,11.88,AUD
2031,2024-03-18T22:05:44,2024-03-18,829,101,Online,PayPal,COUPON0-0-,13.43,AUD
2207,2024-03-18T07:01:12,2024-03-18,894,63,Retail,PayPal,COUPON-ZZ9,17.22,AUD
2345,2024-03-18T21:26:17,2024-03-18,856,126,Retail,PayPal,COUPON9-9A,7.54,AUD
2425,2024-03-18T23:14:35,2024-03-18,823,125,Retail,PayPal,COUPON9--9,2.08,AUD
2447,2024-03-18T03:13:12,2024-03-18,807,129,Retail,Credit Card,COUPON9-Z-,15.42,AUD
2601,2024-03-18T00:04:12,2024-03-18,858,54,Online,PayPal,COUPON-990,9.12,AUD
2750,2024-03-18T11:31:19,2024-03-18,831,96,Retail,PayPal,COUPON9A-A,6.19,AUD
2753,2024-03-18T01:36:58,2024-03-18,877,133,Online,Credit Card,COUPON-0Z9,13.1,AUD
2844,2024-03-18T08:05:56,2024-03-18,887,71,Online,PayPal,COUPONA999,8.25,AUD
2911,2024-03-18T04:40:52,2024-03-18,813,103,Online,PayPal,COUPON-9A0,0.05,AUD
2968,2024-03-18T04:02:32,2024-03-18,879,119,Online,PayPal,COUPON--A-,15.09,AUD
3015,2024-03-18T04:16:15,2024-03-18,839,90,Retail,PayPal,COUPONZ9-0,4.25,AUD
3032,2024-03-18T22:25:42,2024-03-18,825,119,Online,Afterpay,COUPONZ--Z,11.94,AUD
3066,2024-03-18T17:02:27,2024-03-18,876,141,Online,Credit Card,COUPON-9AZ,12.15,AUD
3104,2024-03-18T23:37:30,2024-03-18,813,94,Online,Afterpay,COUPONAZ99,15.45,AUD
3178,2024-03-18T22:18:36,2024-03-18,854,120,Retail,Credit Card,COUPON-A9-,2.77,AUD
3201,2024-03-18T08:41:31,2024-03-18,880,78,Online,Afterpay,COUPON9--Z,19.09,AUD
3224,2024-03-18T06:44:24,2024-03-18,890,137,Retail,Afterpay,COUPON----,15.08,AUD
3344,2024-03-18T08:55:18,2024-03-18,808,121,Online,Afterpay,COUPON-9A-,10.41,AUD
3417,2024-03-18T07:26:18,2024-03-18,804,120,Online,PayPal,COUPON-A-0,10.36,AUD
3432,2024-03-18T21:03:25,2024-03-18,805,109,Retail,Credit Card,COUPON9---,9.33,AUD
3523,2024-03-18T18:08:07,2024-03-18,886,61,Retail,Afterpay,COUPONA990,14.3,AUD
